CUTOFF,POOL,LOANID,LIEN,ORIG BAL,CURR BAL,FOREBEAR_BAL,SRBAL,JRBAL,APPR VAL,PURCH PX,BPO DATE,BPO,BPO QS,BPO AGE,LTV(T),LTV(a),CLTV,SS FLAG,ORIG RATE,RATE,ORIG PMT,CURR PMT,ORIG DATE,FIRST DUE,PAID TO DATE,NEXT DUE,MAT DATE,OTERM,AGE,RTERM,ATERM,BALL FLAG,IO TERM,IO RTERM,IO FLAG,STATE,ZIP,CBSA,CBSA NAME,MARGIN,ARM_FLAG,FIRST_CAP,PERIODIC_CAP,LIFE_CAP,MAX_RATE,FLOOR_RATE,FIRST_RATE_CHANGE_DATE,FIRST_PI_CHANGE_DATE,MONTHS_TO_FIRST_ROL,NEXT_PI_CHG_DATE,ROLL_FREQ,ARM_LOOKBACK,PRODTYPE,LOAN_PURP,PROPTYPE,DOCTYPE,OCC,BK_FLAG,BK_TYPE,BK_DATE,FC_FLAG,FC_DATE,REO_FLAG,MOD_FLAG,MOD_AGE,STEP_RATE_LOAN,ORIG_FICO,CURR_FICO,CURR_FICO_DATE,BACK_RATIO,DQ,INDEX,PMTS1,PMTS3,PMTS6,PMTS12,MSLP,PAYSTRING,MI_PCT,MI_FLAG,MI_COMPANY,ESCROW_ADV,CORP_ADV,DQ_INT,STEP_DT_1,STEP_DT_2,STEP_DT_3,STEP_DT_4,STEP_DT_5,STEP_DT_6,STEP_DT_7,STEP_DT_8,STEP_DT_9,STEP_DT_10,STEP_RT_1,STEP_RT_2,STEP_RT_3,STEP_RT_4,STEP_RT_5,STEP_RT_6,STEP_RT_7,STEP_RT_8,STEP_RT_9,STEP_RT_10,PAL_BUCKET,RENTAL,RENTAL RATE,ALREADY RENTED?,TIME RENTED,FC STATUS,MAX FC DATE,MAX FC STAGE,TIME IN FC,TIME IN CURRENT STAGE,FC CREDIT,ACTIVE LOSS MIT,LOCATION,PAYHISTORY BUCKET,LISTED,PRA
08/31/2017,BAML $250MM Mixed - 2017.10,875536043,1,165000,128762.12,0,0,1448.993683,207000,0,09/23/2017,289900,275405,0,44.41604691,44.41604691,44.91587226,Y,0,4.74,0,1297.01,07/06/2006,08/05/2006,08/25/2017,09/25/2017,07/25/2031,300,133,167,300,N,0,0,N,OR,97220,38900,Portland-Vancouver-Hillsboro OR-WA,0.49,Y,0,0,18,18,0.49,,,,10/01/2017,0,,ARM,Cash Out,Single Family,Unknown,Investment Property,N,0,,N,,N,N,0,0,762,512,03/30/2012,,Current,Ntl Avg Contract,,3,4,9,0,0000000000000000000000000000000000000000000000000000000000000111123300,0,N,,0,15,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Spotty     -SUB_T1_L,0,0,,0,Inactive,,,0,0,0,0,Urban,60+ Last 6,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,875565202,1,40000,36640.6,0,0,204.0007782,51000,0,08/31/2017,79469.17202,75495.71342,0,46.10668398,46.10668398,46.36338827,Y,0,4.25,0,2845.42,09/20/2001,11/01/2001,06/30/2017,07/30/2017,09/30/2026,299,190,109,300,N,0,0,N,AZ,86444,29420,Lake Havasu City-Kingman AZ,0,Y,0,0,18,18,0,,,,10/01/2017,0,,ARM,Cash Out,Single Family,Unknown,Owner Occupied,N,0,,N,,N,N,0,0,690,612,07/20/2017,,Current,Ntl Avg Contract,,1,3,7,0,0000000010010000000000011010000000111000233310000100000000001012213451,0,N,,0,15,259.5375833,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Spotty     -SUB_T2_L,0,0,,0,Inactive,,,0,0,0,0,Rural,30D-MSLP0,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,875630490,1,125000,112250.62,0,0,188.9971161,189000,0,09/25/2017,140000,133000,0,80.17901429,80.17901429,80.31401223,Y,0,3.74,0,646.35,11/24/2007,12/30/2007,06/30/2017,07/30/2017,11/30/2032,300,117,183,300,N,0,0,N,AZ,85041,38060,Phoenix-Mesa-Scottsdale AZ,-0.51,Y,0,0,18,18,0,,,,10/01/2017,0,,ARM,Cash Out,Single Family,Unknown,Owner Occupied,N,0,,N,,N,N,0,0,691,599,08/22/2017,,Current,Ntl Avg Contract,,3,5,8,1,0000000000000000000000000000000000000000000010100001230120123433345301,0,N,,0,0,699.6955313,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Spotty     -PER_T3_L,0,0,,0,Inactive,,,0,0,0,0,Urban,30D,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,875753889,1,81600,58925.82,0,0,0,102000,0,08/31/2017,106567.285,101238.9207,0,55.2944743,55.2944743,55.2944743,N,0,4.24,0,213.3,10/04/2007,11/15/2007,08/25/2017,09/25/2017,10/25/2032,300,118,182,300,N,0,0,N,WA,98550,10140,Aberdeen WA,-0.01,Y,0,0,18,18,0,,,,10/01/2017,0,,ARM,Cash Out,Single Family,Unknown,Owner Occupied,N,0,,N,,N,N,0,0,746,535,02/05/2015,,Current,Ntl Avg Contract,,3,3,7,0,0000000000000000000000000000000000000000000000000000000000000012345000,0,N,,0,15,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Spotty     -SUB_T2_L,0,0,,0,Inactive,,,0,0,0,0,Rural,60+ Last 6,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,876162127,1,236000,76815.12,0,0,0,295000,0,09/23/2017,749900,712405,0,10.24338178,10.24338178,10.24338178,N,0,4.723,0,15734.53,09/13/2000,10/28/2000,06/25/2017,07/25/2017,08/25/2025,299,203,96,299,N,0,0,N,CA,90069,31080,Los Angeles-Long Beach-Anaheim CA,3.5,Y,0,0,18,18,3.5,,,,09/01/2017,0,,ARM,Cash Out,Single Family,Unknown,Owner Occupied,N,0,,N,,N,N,0,0,632,632,01/01/1900,,Current,LIBOR 1M,,1,4,7,0,45232345634553423452340001121231231234010120123423453456786789ABCABCD1,0,N,,0,45,604.6630196,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Spotty     -SUB_T2_L,0,0,,0,Inactive,,,0,0,0,0,Urban,30D-MSLP0,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,876270035,1,100000,74727.87,0,0,0,362168,0,08/31/2017,395023.1707,375272.0122,0,18.91733841,18.91733841,18.91733841,N,0,4.75,0,8520.6,12/17/2004,01/31/2005,07/25/2017,08/25/2017,12/25/2029,300,152,148,300,N,0,0,N,CA,95446,42220,Santa Rosa CA,0.5,Y,0,0,7.74,7.74,0.5,,,,10/01/2017,0,,ARM,Cash Out,Single Family,Unknown,Investment Property,N,0,,N,,N,N,0,0,684,575,05/23/2017,,Current,Ntl Avg Contract,,1,2,3,0,0000000000000000000000000000000000000000011300000000000102344567779AB0,0,N,,0,30,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Spotty     -SUB_T2_L,0,0,,0,Inactive,,,0,0,0,0,Rural,60+ Last 6,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,876508822,1,25000,11319.11,0,0,335.9991455,56000,0,09/25/2017,79900,75905,0,14.16659574,14.16659574,14.58712033,Y,0,3.99,0,50,09/01/2006,10/01/2006,08/25/2017,09/25/2017,09/25/2031,300,131,169,300,N,0,0,N,PA,19602,39740,Reading PA,-0.26,Y,0,0,18,18,0,,,,10/01/2017,0,,ARM,Cash Out,Single Family,Unknown,Investment Property,N,0,,N,,N,N,0,0,709,709,01/01/1900,,Current,Ntl Avg Contract,,3,6,9,0,0000000000000000000000000000000000000000000001200000000000011123324300,0,N,,0,15,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Spotty     -PER_T2_L,0,0,,0,Inactive,,,0,0,0,0,Suburban,60+ Last 6,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,876524640,1,100000,93509.3,0,0,751.775,150355,0,09/24/2017,165000,156750,0,56.67230303,56.67230303,57.12792424,Y,0,4.24,0,886.68,10/18/2006,11/30/2006,07/25/2017,08/25/2017,10/25/2031,300,130,170,300,N,0,0,N,CA,93274,47300,Visalia-Porterville CA,-0.01,Y,0,0,18,18,0,,,,10/01/2017,0,,ARM,Cash Out,Single Family,Unknown,Investment Property,N,0,,N,,N,N,0,0,698,567,03/05/2013,,Current,Ntl Avg Contract,,2,3,8,0,0120010000000000000000000001000000000000000000000000000000000011233400,0,N,,0,15,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Spotty     -SUB_T2_L,0,0,,0,Inactive,,,0,0,0,0,Suburban,60+ Last 6,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,876753505,1,45000,43409.45,0,0,0,165000,0,09/25/2017,84000,79800,0,51.67791667,51.67791667,51.67791667,N,0,4,0,147.47,09/03/2002,10/10/2002,07/25/2017,08/25/2017,09/25/2032,360,179,181,360,N,0,0,N,NYU,12010,11220,Amsterdam NY,-0.25,Y,0,0,18,18,0,,,,10/01/2017,0,,ARM,Cash Out,Single Family,Unknown,Owner Occupied,N,0,,N,,N,N,0,0,702,716,10/14/2014,,Current,Ntl Avg Contract,,2,2,9,0,0000000000000000000000000000000000000000000000012300000001200100123400,0,N,,0,15,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Spotty     -SUB_T2_L,0,0,,0,Inactive,,,0,0,0,0,Rural,60+ Last 6,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,876804751,1,150000,147401.05,0,0,2393.993912,399000,0,09/26/2017,369000,350550,0,39.94608401,39.94608401,40.59486285,Y,0,3.74,0,1330.13,07/19/2007,08/23/2007,08/25/2017,09/25/2017,07/25/2032,300,121,179,300,N,0,0,N,NYD,11756,35620,New York-Newark-Jersey City NY-NJ-PA,-0.51,Y,0,0,18,18,0,,,,10/01/2017,0,,ARM,Cash Out,Single Family,Unknown,Owner Occupied,N,0,,N,,N,N,0,0,736,541,05/26/2014,,Current,Ntl Avg Contract,,3,6,11,0,0000000000000000000000000000000001111110100000012112212234455555000010,0,N,,0,15,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Spotty     -PER_T3_L,0,0,,0,Inactive,,,0,0,0,0,Urban,30 Only Last 6,N,0
