CUTOFF,POOL,LOANID,LIEN,ORIG BAL,CURR BAL,FOREBEAR_BAL,SRBAL,JRBAL,APPR VAL,PURCH PX,BPO DATE,BPO,BPO QS,BPO AGE,LTV(T),LTV(a),CLTV,SS FLAG,ORIG RATE,RATE,ORIG PMT,CURR PMT,ORIG DATE,FIRST DUE,PAID TO DATE,NEXT DUE,MAT DATE,OTERM,AGE,RTERM,ATERM,BALL FLAG,IO TERM,IO RTERM,IO FLAG,STATE,ZIP,CBSA,CBSA NAME,MARGIN,ARM_FLAG,FIRST_CAP,PERIODIC_CAP,LIFE_CAP,MAX_RATE,FLOOR_RATE,FIRST_RATE_CHANGE_DATE,FIRST_PI_CHANGE_DATE,MONTHS_TO_FIRST_ROL,NEXT_PI_CHG_DATE,ROLL_FREQ,ARM_LOOKBACK,PRODTYPE,LOAN_PURP,PROPTYPE,DOCTYPE,OCC,BK_FLAG,BK_TYPE,BK_DATE,FC_FLAG,FC_DATE,REO_FLAG,MOD_FLAG,MOD_AGE,STEP_RATE_LOAN,ORIG_FICO,CURR_FICO,CURR_FICO_DATE,BACK_RATIO,DQ,INDEX,PMTS1,PMTS3,PMTS6,PMTS12,MSLP,PAYSTRING,MI_PCT,MI_FLAG,MI_COMPANY,ESCROW_ADV,CORP_ADV,DQ_INT,STEP_DT_1,STEP_DT_2,STEP_DT_3,STEP_DT_4,STEP_DT_5,STEP_DT_6,STEP_DT_7,STEP_DT_8,STEP_DT_9,STEP_DT_10,STEP_RT_1,STEP_RT_2,STEP_RT_3,STEP_RT_4,STEP_RT_5,STEP_RT_6,STEP_RT_7,STEP_RT_8,STEP_RT_9,STEP_RT_10,PAL_BUCKET,RENTAL,RENTAL RATE,ALREADY RENTED?,TIME RENTED,FC STATUS,MAX FC DATE,MAX FC STAGE,TIME IN FC,TIME IN CURRENT STAGE,FC CREDIT,ACTIVE LOSS MIT,PAYHISTORY BUCKET,LOCATION,LISTED,PRA
08/31/2017,BAML $250MM Mixed - 2017.10,867175,1,1440000,1401637.87,0,0,0,2085000,0,09/25/2017,1407000,1336650,0,99.61889623,99.61889623,99.61889623,N,0,2.7,5578.43,5651.2,08/16/2007,10/01/2007,05/01/2017,06/01/2017,09/01/2047,480,119,361,480,N,0,0,N,HI,96761,27980,Kahului-Wailuku-Lahaina HI,0,N,0,0,0,0,0,,,,,0,,FIXED - NegAm,Rate Term,PUD,Limited,Owner Occupied,N,0,,N,,N,Y,90,0,732,593,08/23/2017,,60,,,2,5,11,1,0000000000000012323456789A7560000000000112211011000100122211112122111111211110100011111111111111122222222222222222222223,0,N,,235.45,696.2,9461.055623,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,SUB_T1_L,0,0,,0,Inactive,,,0,0,0,0,60+,Rural,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,2427177,1,59500,51709.82,0,0,0,95000,0,09/23/2017,178000,169100,0,29.05046067,29.05046067,29.05046067,N,0,5.25,426.27,420.09,02/05/2002,04/01/2002,05/01/2017,06/01/2017,03/01/2032,360,185,175,360,N,0,0,N,TN,37013,34980,Nashville-Davidson--Murfreesboro--Franklin TN,0,N,0,0,0,0,0,,,,,0,,FIXED,Rate Term,Single Family,Alt Doc,Owner Occupied,N,0,,N,,N,Y,92,0,749,579,08/19/2017,,60,,,2,5,10,2,00000000000000000000000000000000000000000000000000000111000000000000000000001234566789ABCDEFG000012012212112212323434334011111211233343210001111011211110101221210121122012221011222222123,0,N,,0,407.11,678.6913875,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,SUB_T1_L,0,0,,0,Inactive,,,0,0,0,0,60+,Urban,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,8866971,1,127500,91303.52,0,0,0,150000,0,09/26/2017,170000,161500,0,53.70795294,53.70795294,53.70795294,N,0,6.625,816.4,816.4,12/13/2001,02/01/2002,05/01/2017,06/01/2017,01/01/2032,360,187,173,360,N,0,0,N,IL,60446,16980,Chicago-Naperville-Elgin IL-IN-WI,0,N,0,0,0,0,0,,,,,0,,FIXED,Rate Term,Condo,Full,Owner Occupied,N,0,,N,,N,N,0,0,686,520,08/24/2017,,60,,,2,4,11,0,00000000000000000000000000000000000000000000000001100000000000000112201111100001122111110001000000000000000000000000000000000000000001000000010101000000000011000001211100112222222221122233,0,N,,996.46,90,1512.21455,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,SUB_T1_L,0,0,,0,Inactive,,,0,0,0,0,60+,Urban,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,9069560,1,50400,35286.76,0,0,0,56000,0,09/23/2017,49900,47405,0,70.7149499,70.7149499,70.7149499,N,0,7.625,356.73,376.85,01/22/2001,03/01/2001,05/01/2017,06/01/2017,02/01/2031,360,198,162,360,N,0,0,N,MO,63601,22100,Farmington MO,0,N,0,0,0,0,0,,,,,0,,FIXED,Cash Out,Single Family,Alt Doc,Owner Occupied,N,0,,N,,N,Y,92,0,736,556,08/23/2017,,60,,,2,3,9,2,0000000000000000000000000000100001000000000000010011000011000011120110001101100122010112201223345411112345000000110100010000010000000000000000000000000110000000000111110000001000100000010001100012123,0,N,,0,125,672.6538625,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,SUB_T2_L,0,0,,0,Inactive,,,0,0,0,0,60+,Rural,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,9104351,1,21000,7509.41,0,0,0,28000,0,09/29/2017,42500,40375,0,17.6692,17.6692,17.6692,N,0,8,280.28,182.59,11/24/2000,01/01/2001,04/01/2017,05/01/2017,12/01/2030,360,200,160,360,N,0,0,N,OK,74743,,,0,N,0,0,0,0,0,,,,,0,,FIXED,Cash Out,Single Family,Full,Owner Occupied,N,0,,N,,N,Y,83,0,536,517,08/09/2017,,90,,,1,5,8,2,000001234220111111111111100111121100122323221111010111222222100001001000011011121100100001200111232233343344566766677000000000000000000000000001000000001122200000010000111223111111110000000011233232234,0,N,,0,390,200.2509333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,SUB_T2_L,0,0,,0,Inactive,,,0,0,0,0,60+,Rural,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,20885458,1,102000,92445.31,0,0,0,143000,0,09/25/2017,199000,189050,0,46.45492965,46.45492965,46.45492965,N,0,6.375,636.35,554.11,10/04/2002,12/01/2002,05/01/2017,06/01/2017,11/01/2052,600,177,423,480,N,0,0,N,VA,24521,31340,Lynchburg VA,0,N,0,0,0,0,0,,,,,0,,FIXED,Cash Out,Single Family,Full,Owner Occupied,N,0,,N,,N,Y,58,0,641,498,08/08/2017,,60,,,2,5,11,1,0000000111120100111101100111111110000001111212222222333355667000000000111210221110122300000000001100112223333343445678900010101123334500001212224456122222222222112222121222222223,0,N,,0,0,1473.347128,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,SUB_T1_L,0,0,,0,Inactive,,,0,0,0,0,60+,Rural,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,20993263,1,231000,215244.65,0,0,0,288800,0,09/25/2017,312000,296400,0,68.98866987,68.98866987,68.98866987,N,0,4.625,1403.59,1042.28,10/25/2002,12/01/2002,05/01/2017,06/01/2017,10/01/2052,599,177,422,599,N,0,0,N,GA,30705,19140,Dalton GA,0,N,0,0,0,0,0,,,,,0,,FIXED,Rate Term,Single Family,Alt Doc,Owner Occupied,N,0,,N,,N,Y,102,0,670,527,08/21/2017,,60,,,2,4,11,1,000000000000001111111111212334566789ABCDEFGHIJJHHFFFCBA9987770000001111234500011122222222223333333452223456789ABBBBCCC30000000000E000000000000001100011000111111111112222211222323,0,N,,273.4,495,2488.766266,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,SUB_T1_L,0,0,,0,Inactive,,,0,0,0,0,60+,Rural,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,21848921,1,126500,107283.58,0,0,0,167000,0,09/25/2017,162500,154375,0,66.02066462,66.02066462,66.02066462,N,0,5.875,748.3,607.31,12/23/2002,02/01/2003,05/01/2017,06/01/2017,08/01/2051,583,175,408,583,N,0,0,N,CT,6418,35300,New Haven-Milford CT,0,N,0,0,0,0,0,,,,,0,,FIXED,Cash Out,Single Family,Full,Owner Occupied,N,0,,N,,N,Y,68,0,723,594,08/22/2017,,60,,,2,5,10,0,00000000000000000000000000000000000110001001001100000010000111111111111001000100011112222331122233332345678000011111112223333333344444450000000000000000000000001111122122222233,0,N,,0,90,1575.727581,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,SUB_T1_L,0,0,,0,Inactive,,,0,0,0,0,60+,Suburban,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,21964293,1,100000,1054.17,0,0,5.500030518,135000,0,09/25/2017,189000,179550,0,0.557761905,0.557761905,0.560671974,Y,0,5.75,830.41,830.41,01/08/2003,03/01/2003,05/01/2017,06/01/2017,02/01/2018,180,174,6,180,N,0,0,N,NJ,8527,35620,New York-Newark-Jersey City NY-NJ-PA,0,N,0,0,0,0,0,,,,,0,,FIXED,Rate Term,Condo,Full,Owner Occupied,N,0,,N,,N,N,0,0,625,532,08/22/2017,,60,,,2,4,9,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110110101122223,0,N,,0,60,15.15369375,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,SUB_T1_L,0,0,,0,Inactive,,,0,0,0,0,60+,Suburban,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,22736740,1,43659,30982.49,0,0,0,48000,0,09/24/2017,49900,47405,0,62.08915832,62.08915832,62.08915832,N,0,5.25,241.09,241.09,07/10/2009,09/01/2009,05/01/2017,06/01/2017,08/01/2039,360,96,264,360,N,0,0,N,IN,47331,18220,Connersville IN,0,N,0,0,0,0,0,,,,,0,,FIXED,Rate Term,Single Family,Full,Owner Occupied,N,0,,N,,N,N,0,0,0,491,08/23/2017,,60,,,2,5,10,0,0120000000000000112211110000000000000000000000000000000000000000000000001122221111111112222222333,0,N,,0,650,406.6451813,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,SUB_T1_L,0,0,,0,Inactive,,,0,0,0,0,60+,Rural,N,0
